TIME,ACC4,ACC3,ACC2,ACC1,ROOT
0,1,1,1,1,1
1,4,3,2,1,0
2,10,6,3,1,0
3,20,10,4,1,0
4,35,15,5,1,0
5,56,21,6,1,0
6,84,28,7,1,0
7,120,36,8,1,0
8,165,45,9,1,0
9,220,55,10,1,0
10,286,66,11,1,0
11,364,78,12,1,0
12,455,91,13,1,0
13,560,105,14,1,0
14,680,120,15,1,0
15,816,136,16,1,0
16,969,153,17,1,0
17,1140,171,18,1,0
18,1330,190,19,1,0
19,1540,210,20,1,0
20,1771,231,21,1,0
21,2024,253,22,1,0
22,2300,276,23,1,0
23,2600,300,24,1,0
24,2925,325,25,1,0
25,3276,351,26,1,0
26,3654,378,27,1,0
27,4060,406,28,1,0
28,4495,435,29,1,0
29,4960,465,30,1,0
30,5456,496,31,1,0
31,5984,528,32,1,0
32,6545,561,33,1,0
33,7140,595,34,1,0
34,7770,630,35,1,0
35,8436,666,36,1,0
36,9139,703,37,1,0
37,9880,741,38,1,0
38,10660,780,39,1,0
39,11480,820,40,1,0
40,12341,861,41,1,0
41,13244,903,42,1,0
42,14190,946,43,1,0
43,15180,990,44,1,0
44,16215,1035,45,1,0
45,17296,1081,46,1,0
46,18424,1128,47,1,0
47,19600,1176,48,1,0
48,20825,1225,49,1,0
49,22100,1275,50,1,0
50,23426,1326,51,1,0
51,24804,1378,52,1,0
52,26235,1431,53,1,0
53,27720,1485,54,1,0
54,29260,1540,55,1,0
55,30856,1596,56,1,0
56,32509,1653,57,1,0
57,34220,1711,58,1,0
58,35990,1770,59,1,0
59,37820,1830,60,1,0
60,39711,1891,61,1,0
61,41664,1953,62,1,0
62,43680,2016,63,1,0
63,45760,2080,64,1,0
64,47905,2145,65,1,0
65,50116,2211,66,1,0
66,52394,2278,67,1,0
67,54740,2346,68,1,0
68,57155,2415,69,1,0
69,59640,2485,70,1,0
70,62196,2556,71,1,0
71,64824,2628,72,1,0
72,67525,2701,73,1,0
73,70300,2775,74,1,0
74,73150,2850,75,1,0
75,76076,2926,76,1,0
76,79079,3003,77,1,0
77,82160,3081,78,1,0
78,85320,3160,79,1,0
79,88560,3240,80,1,0
80,91881,3321,81,1,0
81,95284,3403,82,1,0
82,98770,3486,83,1,0
83,102340,3570,84,1,0
84,105995,3655,85,1,0
85,109736,3741,86,1,0
86,113564,3828,87,1,0
87,117480,3916,88,1,0
88,121485,4005,89,1,0
89,125580,4095,90,1,0
90,129766,4186,91,1,0
